,chunkfolder,folderlength,recognitiontime
0,result04Faiz Ahmed Faiz - Nisar Main Teri Galiyon Kay Ae Watan By ARaziq Piracha.flac,70.29986394557822,31.490069150924683
1,result06Zia Mohyeddin reading Faiz Ahmed Faizwmv.flac,127.21965986394558,60.26038312911987
2,result07Faiz Ahmed Faiz - Aaj Bazar Mein Paa-Ba-Jaulan Chalo By ARaziq Piracha.flac,1.0,0.0
3,result11Faiz Ahmad Faiz reads his own Poetry -(Remembering the legend).flac,336.21945578231293,156.51548790931702
4,result12FAiz Ahmad Faiz recites his own Poetry.flac,438.41911564625843,212.5740566253662
5,result13FAiz Ahmad Faiz recites his own Poetry.flac,438.41911564625843,223.3686773777008
6,result14Faiz Ahmed Faiz - Nisar Main Teri Galiyon Kay Ae Watan By ARaziq Piracha.flac,70.29986394557822,29.456640005111694
7,result15Faiz Ahmad Faiz reads his own Poetry -(Remembering the legend).flac,336.21945578231293,154.3334081172943
8,result16FAiz Ahmad Faiz recites his own Poetry.flac,438.41911564625843,202.30201148986816
9,result17Yeh Daagh Daagh Ujala by Faiz Ahmed Faiz.flac,108.59979591836733,50.16254901885986
10,result18Kuttay - Poem by Faiz Ahmed Faiz -.flac,106.19965986394557,52.25672101974487
11,result - 45 MINUTES 20 04 2019.flac,2849.1764625850346,1482.641856431961
12,result45 MINT   01 02 2019.flac,2998.834081632654,2012.6136677265167
13,result45 MINT   01 03 2019-N_F_-9Z12Ew.flac,2581.415782312925,1405.022391319275
14,result45 MINT   01 03 2019.flac,2581.415782312925,1411.8446817398071
15,result45 MINT   02 02 2019-_TIt46xlM1Q.flac,3028.5744217687075,2105.1214632987976
16,result45 MINT   02 02 2019.flac,3028.5744217687075,2074.945419073105
17,result45 Mint   04 01 2019.flac,2150.3557823129254,1192.6907408237457
18,result45 MINT   05 01 2019.flac,2764.674761904762,1548.996596813202
19,result45 MINT   09 02 2019-tNVpggoLCQ4.flac,3054.9732653061224,2097.9778208732605
20,result45 MINT   09 02 2019.flac,3054.9732653061224,2114.1183335781097
21,result45 MINT   11 01 2019.flac,2697.155238095238,1721.0073556900024
22,result45 MINT   15 03 2019-DRU2xPl6vLI.flac,0.0,0.0
